doeth,call,twp,ffôl,hapus
budr,brwnt,glân,gwyn,du
cyflym,clou,araf,hir,byr
bwrw,taro,mwytho,cyffwrdd,cicio
llefrith,llaeth,cwrw,caws,buwch
hawdd,rhwydd,anodd,arferol,rhydd
hynod,mor,tipyn,eithaf,bach
adnabyddus,enwog,dieithr,cerddor,amlwg
dolur,poen,moddion,salwch,meddyg
distaw,tawel,swnllyd,uchel,cyffroes
mân,bach,mawr,lled,cul
hogyn,bachgen,menyw,gwraig,myfyriwr
teyrngar,ffyddlon,celwydd,diafol,duw
merch,geneth,dyn,disgybl,gwr
blinedig,cysglyd,egnïol,gwelu,cysgu
creu,cynhyrchu,dinistrio,torri,adeiladu
rhyfel,brwydr,heddwch,byddin,milwr
rhwystro,atal,gadael,caniatáu,eisiau
edrych,sbio,clywed,methu,dweud
rhyfedd,anarferol,normal,lliwgar,doeth
anibendod,llanast,taclus,ystafell,brwnt
cnoi,brathu,bwyta,yfed,dannedd
ceisio,trio,llwyddo,methu,cysgu
ffeindio,canfod,colli,nofio,chwilio
lleol,agos,pell,estron,gwyrdd
cwtogi,lleihau,ehangu,plygu,ymestyn
ehangu,tyfu,neidio,magu,meithrin
mur,wal,drws,ffenest,to
diogel,saff,peryglus,agored,rhwystredig
cyflawni,cwblhau,methu,gwagio,colli
deunydd,defnydd,dillad,pren,gwydr
gweiddi,bloeddio,sibrwd,siarad,peswch
pili pala,glöyn byw,pryfed,prycopyn,morgrugyn
teisen,cacen,bara,bisced,tost
digalon,trist,siriol,doniol,hwyl
cweryla,dadlau,cytuno,cusanu,bloeddio
hybu,hyrwyddo,digaloni,rhwystro,cynyddu
hardd,prydferth,hyll,esmwyth,caled
cymorth,help,rhwystr,moddion,athro
ffug,afreal,gwirioneddol,ffeithiol,stori
gwagle,gofod,llawn,awyr,bydysawd
bad,cwch,awyren,car,hofrennydd
dryll,gwn,cyllell,cleddyf,arf
cyfarfod,cwrdd,croesawi,siarad,ffarwelio
swydd,gwaith,gwyliau,rheswm,grym
holi,gofyn,ateb,gorymateb,meddwl
hanfodol,angenrheidiol,diangen,gwreiddiol,gwahanol
lleoliad,man,sefyllfa,amser,ystafell
creulon,cas,cwrtais,neis,crac
oherwydd,achos,rheswm,pam,esboniad
